symbol,timeframe,timestamp,open,high,low,close,volume
BTCUSDT,15m,2026-06-05 10:15:00,62720.4,62720.6,62483.2,62547.2,158.2582
BTCUSDT,15m,2026-06-05 10:30:00,62547.4,62685.8,62350.0,62648.0,204.0908
BTCUSDT,15m,2026-06-05 10:45:00,62648.0,62648.0,62425.0,62516.6,92.2523
BTCUSDT,15m,2026-06-05 11:00:00,62515.8,62516.0,62229.6,62293.5,223.9019
BTCUSDT,15m,2026-06-05 11:15:00,62293.3,62613.0,62209.4,62441.0,259.5755
BTCUSDT,15m,2026-06-05 11:30:00,62441.2,62494.4,62090.0,62090.1,184.2041
BTCUSDT,15m,2026-06-05 11:45:00,62090.1,62234.4,61927.6,61927.8,355.5035
BTCUSDT,15m,2026-06-05 12:00:00,61927.6,62257.8,61609.9,62122.5,659.7566
BTCUSDT,15m,2026-06-05 12:15:00,62122.5,62430.4,62122.3,62183.8,208.4342
BTCUSDT,15m,2026-06-05 12:30:00,62189.1,62365.8,61581.1,61940.2,683.4226
BTCUSDT,15m,2026-06-05 12:45:00,61944.7,62059.0,61830.6,61936.3,184.3755
BTCUSDT,15m,2026-06-05 13:00:00,61936.1,62150.1,61888.4,61958.7,174.7372
BTCUSDT,15m,2026-06-05 13:15:00,61958.7,62288.0,61854.4,62085.8,269.0749
BTCUSDT,15m,2026-06-05 13:30:00,62084.3,62288.2,61650.4,61813.6,458.0433
BTCUSDT,15m,2026-06-05 13:45:00,61813.8,61841.0,60693.4,60703.2,1239.8385
BTCUSDT,15m,2026-06-05 14:00:00,60703.3,61182.8,60419.3,60820.0,1304.4203
BTCUSDT,15m,2026-06-05 14:15:00,60819.9,61021.0,60303.0,60351.3,758.2189
BTCUSDT,15m,2026-06-05 14:30:00,60353.2,61155.0,60300.0,60807.3,855.5452
BTCUSDT,15m,2026-06-05 14:45:00,60807.1,61100.0,60585.6,60831.7,407.7646
BTCUSDT,15m,2026-06-05 15:00:00,60830.7,60994.3,60491.3,60574.8,390.9744
BTCUSDT,15m,2026-06-05 15:15:00,60574.5,61091.4,60466.0,60755.8,467.9422
BTCUSDT,15m,2026-06-05 15:30:00,60755.8,60829.3,60015.2,60345.8,938.1138
BTCUSDT,15m,2026-06-05 15:45:00,60346.5,60598.5,60175.1,60401.5,497.3047
BTCUSDT,15m,2026-06-05 16:00:00,60401.2,61053.8,59740.0,60870.9,1915.1737
BTCUSDT,15m,2026-06-05 16:15:00,60871.1,61526.6,60708.1,60899.6,1276.6951
BTCUSDT,15m,2026-06-05 16:30:00,60899.6,61039.6,60672.7,60804.2,430.4239
BTCUSDT,15m,2026-06-05 16:45:00,60804.2,61448.1,60786.7,61361.4,380.7290
BTCUSDT,15m,2026-06-05 17:00:00,61361.4,61485.6,60902.1,61029.0,401.2782
BTCUSDT,15m,2026-06-05 17:15:00,61031.9,61047.1,60622.0,60661.5,303.1745
BTCUSDT,15m,2026-06-05 17:30:00,60662.9,61127.2,60661.4,60729.1,303.1984
BTCUSDT,15m,2026-06-05 17:45:00,60729.3,60824.6,60623.5,60786.0,187.2720
BTCUSDT,15m,2026-06-05 18:00:00,60786.0,60931.5,60584.8,60596.9,153.6888
BTCUSDT,15m,2026-06-05 18:15:00,60594.8,60631.9,60086.4,60133.0,457.8325
BTCUSDT,15m,2026-06-05 18:30:00,60134.2,60311.1,59633.1,59921.8,790.9567
BTCUSDT,15m,2026-06-05 18:45:00,59921.8,59949.3,59103.8,59365.2,1217.3168
BTCUSDT,15m,2026-06-05 19:00:00,59365.4,59585.6,59117.6,59361.6,460.2416
BTCUSDT,15m,2026-06-05 19:15:00,59357.5,59837.3,59100.3,59820.0,488.4085
BTCUSDT,15m,2026-06-05 19:30:00,59807.9,59863.6,59444.8,59713.9,305.6404
BTCUSDT,15m,2026-06-05 19:45:00,59713.9,60431.8,59709.2,60271.3,575.3097
BTCUSDT,15m,2026-06-05 20:00:00,60270.3,60958.9,59906.9,60826.1,515.7609
BTCUSDT,15m,2026-06-05 20:15:00,60825.9,61050.0,60687.2,60920.3,315.6669
BTCUSDT,15m,2026-06-05 20:30:00,60919.9,61281.4,60860.8,61243.4,319.0687
BTCUSDT,15m,2026-06-05 20:45:00,61243.6,61740.0,61174.2,61600.1,402.6364
BTCUSDT,15m,2026-06-05 21:00:00,61600.0,61966.3,61535.2,61836.6,483.2655
BTCUSDT,15m,2026-06-05 21:15:00,61835.2,61977.0,61536.7,61551.5,266.2027
BTCUSDT,15m,2026-06-05 21:30:00,61549.8,61910.1,61428.3,61841.6,226.9611
BTCUSDT,15m,2026-06-05 21:45:00,61841.6,61888.8,61600.3,61643.1,95.5275
BTCUSDT,15m,2026-06-05 22:00:00,61639.9,61639.9,61199.3,61368.5,278.6465
BTCUSDT,15m,2026-06-05 22:15:00,61368.5,61616.6,61269.9,61454.8,314.3083
BTCUSDT,15m,2026-06-05 22:30:00,61454.8,61845.9,61372.7,61718.6,205.1896
BTCUSDT,15m,2026-06-05 22:45:00,61718.6,61938.6,61511.4,61558.6,193.0276
BTCUSDT,15m,2026-06-05 23:00:00,61558.6,61748.1,61274.7,61276.6,192.7788
BTCUSDT,15m,2026-06-05 23:15:00,61275.2,61275.2,60789.3,60911.0,330.7019
BTCUSDT,15m,2026-06-05 23:30:00,60911.4,60914.7,60480.2,60777.7,240.9033
BTCUSDT,15m,2026-06-05 23:45:00,60782.6,61040.0,60665.0,61020.3,119.3821
BTCUSDT,15m,2026-06-06 00:00:00,61021.6,61449.0,61021.6,61391.1,217.7583
BTCUSDT,15m,2026-06-06 00:15:00,61391.1,61496.7,61113.0,61277.4,218.6464
BTCUSDT,15m,2026-06-06 00:30:00,61277.1,61391.3,61140.4,61165.8,77.9445
BTCUSDT,15m,2026-06-06 00:45:00,61165.6,61354.9,61113.0,61240.6,60.3228
BTCUSDT,15m,2026-06-06 01:00:00,61240.8,61347.2,61074.2,61114.1,64.0140
BTCUSDT,15m,2026-06-06 01:15:00,61113.9,61265.1,60937.2,61261.7,173.0795
BTCUSDT,15m,2026-06-06 01:30:00,61261.7,61266.1,60983.2,61026.9,69.8427
BTCUSDT,15m,2026-06-06 01:45:00,61026.8,61142.5,60920.0,61026.1,93.4156
BTCUSDT,15m,2026-06-06 02:00:00,61026.1,61070.6,60835.0,60848.2,131.6197
BTCUSDT,15m,2026-06-06 02:15:00,60848.4,60960.0,60640.1,60772.6,163.3453
BTCUSDT,15m,2026-06-06 02:30:00,60773.3,61027.9,60746.4,60903.5,107.7342
BTCUSDT,15m,2026-06-06 02:45:00,60902.7,61150.0,60841.9,60919.2,115.1101
BTCUSDT,15m,2026-06-06 03:00:00,60919.0,60937.4,60760.0,60847.0,116.7736
BTCUSDT,15m,2026-06-06 03:15:00,60847.0,60915.0,60690.0,60767.2,78.2198
BTCUSDT,15m,2026-06-06 03:30:00,60767.2,60767.2,60501.0,60682.1,136.6230
BTCUSDT,15m,2026-06-06 03:45:00,60682.9,60771.4,60584.3,60659.4,83.8129
BTCUSDT,15m,2026-06-06 04:00:00,60659.6,60836.6,60060.0,60100.7,549.9078
BTCUSDT,15m,2026-06-06 04:15:00,60099.8,60311.3,59789.0,59927.8,547.9603
BTCUSDT,15m,2026-06-06 04:30:00,59927.8,60018.5,59450.2,59756.4,635.3583
BTCUSDT,15m,2026-06-06 04:45:00,59754.4,60260.8,59667.5,60068.1,327.4926
BTCUSDT,15m,2026-06-06 05:00:00,60069.5,60209.9,59582.0,59858.9,307.4233
BTCUSDT,15m,2026-06-06 05:15:00,59859.2,61042.3,59835.2,60719.5,659.9551
BTCUSDT,15m,2026-06-06 05:30:00,60719.5,60948.1,60583.7,60794.9,243.3688
BTCUSDT,15m,2026-06-06 05:45:00,60795.1,61029.9,60726.5,60919.0,180.9639
BTCUSDT,15m,2026-06-06 06:00:00,60918.8,61235.0,60906.9,61136.7,256.1068
BTCUSDT,15m,2026-06-06 06:15:00,61136.5,61220.0,60974.8,61004.4,182.5688
BTCUSDT,15m,2026-06-06 06:30:00,61004.3,61157.7,60772.6,60785.0,250.7896
BTCUSDT,15m,2026-06-06 06:45:00,60779.0,60943.2,60661.9,60765.4,131.7097
BTCUSDT,15m,2026-06-06 07:00:00,60765.2,61100.0,60698.0,61062.0,174.8968
BTCUSDT,15m,2026-06-06 07:15:00,61062.2,61200.0,60812.5,60859.8,161.0394
BTCUSDT,15m,2026-06-06 07:30:00,60860.0,61067.6,60842.2,61020.0,141.8352
BTCUSDT,15m,2026-06-06 07:45:00,61020.0,61077.4,60934.2,60973.5,97.6991
BTCUSDT,15m,2026-06-06 08:00:00,60973.5,61134.0,60847.5,61115.1,125.3265
BTCUSDT,15m,2026-06-06 08:15:00,61115.0,61428.9,60998.3,61376.2,216.2717
BTCUSDT,15m,2026-06-06 08:30:00,61376.4,61469.3,61268.2,61333.7,217.0101
BTCUSDT,15m,2026-06-06 08:45:00,61333.5,61452.0,61204.1,61239.2,140.5352
BTCUSDT,15m,2026-06-06 09:00:00,61239.0,61287.8,61093.5,61190.9,143.7213
BTCUSDT,15m,2026-06-06 09:15:00,61189.8,61295.4,61070.0,61284.7,117.5786
BTCUSDT,15m,2026-06-06 09:30:00,61284.5,61284.7,61029.8,61066.8,128.9220
BTCUSDT,15m,2026-06-06 09:45:00,61068.0,61088.9,60860.5,60951.8,173.5178
BTCUSDT,15m,2026-06-06 10:00:00,60951.8,60952.6,60566.1,60590.9,368.6902
BTCUSDT,15m,2026-06-06 10:15:00,60590.9,60714.7,60450.0,60497.1,285.0229
BTCUSDT,15m,2026-06-06 10:30:00,60497.1,60502.7,60160.0,60390.1,361.8299
BTCUSDT,15m,2026-06-06 10:45:00,60390.1,60579.3,60317.3,60572.8,197.3143
BTCUSDT,15m,2026-06-06 11:00:00,60555.3,60794.2,60519.4,60609.8,172.5468
BTCUSDT,15m,2026-06-06 11:15:00,60610.0,60828.0,60567.7,60772.9,128.6119
BTCUSDT,15m,2026-06-06 11:30:00,60772.9,60839.5,60704.7,60799.2,99.0150
BTCUSDT,15m,2026-06-06 11:45:00,60799.2,60933.3,60714.6,60773.6,164.6819
BTCUSDT,15m,2026-06-06 12:00:00,60773.4,61066.2,60773.4,61017.9,233.6479
